SLOID,status
ch:1:sloid:7083:0:291332,0
ch:1:sloid:88580:1:3,0
ch:1:sloid:88580:1:2,0
ch:1:sloid:7483:0:138485,0
ch:1:sloid:89500::528701,0
ch:1:sloid:7086:0:262246,0
ch:1:sloid:7087:0:919893,0
ch:1:sloid:7094:0:143326,0
ch:1:sloid:8260:0:81307,0
ch:1:sloid:76393:0:01,1
ch:1:sloid:8366:0:436341,1
ch:1:sloid:8366:0:617767,1
ch:1:sloid:80070::505201,0
ch:1:sloid:88478:1:3,0
ch:1:sloid:88478:1:5,0
ch:1:sloid:88478:1:2,0
ch:1:sloid:88165:1:5,1
ch:1:sloid:88165:1:7,1
ch:1:sloid:80071::505002,0
ch:1:sloid:80078::504902,0
ch:1:sloid:91482::8591482,0
ch:1:sloid:692:1:9,0
ch:1:sloid:93317:0:02,0
ch:1:sloid:76394:0:02,0
ch:1:sloid:91915:1:1,0
ch:1:sloid:91911:1:1,0
ch:1:sloid:91928:1:1,0
ch:1:sloid:6522::340901,0
ch:1:sloid:93380:0:01,1
ch:1:sloid:87898:0:01,1
ch:1:sloid:93319:0:02,1
ch:1:sloid:93321:0:02,0
ch:1:sloid:63:1:5,0
ch:1:sloid:261:0:860776,1
ch:1:sloid:263:0:492096,1
ch:1:sloid:88072:1:3,0
ch:1:sloid:7074:0:232062,1
ch:1:sloid:88072:1:7,0
ch:1:sloid:95:1:2,1
ch:1:sloid:93324:0:02,1
ch:1:sloid:93326:0:02,1
ch:1:sloid:7076:0:379687,1
ch:1:sloid:66:1:2,1
ch:1:sloid:69:1:4,0
ch:1:sloid:76391:0:03,1
ch:1:sloid:7290:0:930269,1
ch:1:sloid:261:0:379075,1
ch:1:sloid:7473:0:962248,1
ch:1:sloid:7475:0:752635,1
ch:1:sloid:4481:0:203140,1
ch:1:sloid:7481:0:386244,1
ch:1:sloid:8255:0:47020,1
ch:1:sloid:7073:0:708944,1
ch:1:sloid:7074:0:840416,1
ch:1:sloid:7086:0:335310,1
ch:1:sloid:7088:0:321308,1
ch:1:sloid:93334:0:01,0
ch:1:sloid:93334:0:02,0
ch:1:sloid:93337:0:01,1
ch:1:sloid:7091:0:398105,1
ch:1:sloid:7092:0:178624,1
ch:1:sloid:93339:0:02,0
ch:1:sloid:71:1:3,0
ch:1:sloid:7473:0:381114,1
ch:1:sloid:7478:0:259646,1
ch:1:sloid:3083::2,1
ch:1:sloid:8084:0:711957,1
ch:1:sloid:8085:0:785138,1
ch:1:sloid:8088:0:498295,1
ch:1:sloid:174:0:2,1
ch:1:sloid:174:0:3,1
ch:1:sloid:16154:0:898925,1
ch:1:sloid:51:1:4,0
ch:1:sloid:78218:1:3,0
ch:1:sloid:78218:1:4,0
ch:1:sloid:88758:1:2,0
ch:1:sloid:76817:1:5,0
ch:1:sloid:88172:1:7,0
ch:1:sloid:92492:0:02,0
ch:1:sloid:4127:0:1,0
ch:1:sloid:91200::10,1
ch:1:sloid:91035::20,1
ch:1:sloid:1686:0:584152,1
ch:1:sloid:1689:0:350602,0
ch:1:sloid:91198::11,1
ch:1:sloid:91247::11,1
ch:1:sloid:94239::10,1
ch:1:sloid:73692::10,1
ch:1:sloid:6206:2:2,1
ch:1:sloid:1677:0:895423,1
ch:1:sloid:1685:0:678290,1
ch:1:sloid:1688:0:495783,0
ch:1:sloid:90992::11,1
ch:1:sloid:6121:2:2,1
ch:1:sloid:1689:0:745832,1
ch:1:sloid:91015::11,1
ch:1:sloid:91056::11,1
ch:1:sloid:3466:0:801791,1
ch:1:sloid:3462:0:467732,0
ch:1:sloid:91020::10,1
